[2023-01-10 20:11:01,666] [Command] Playing sound select
[2023-01-10 20:11:01,667] [Command] Place a symbol on game 0d2ef832-21d2-4bed-8c73-1a035e28452c on position 1
[2023-01-10 20:11:01,677] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,689] [Command] Playing sound select
[2023-01-10 20:11:01,765] {'message': 'The command is invalid: Not your turn'}
[2023-01-10 20:11:01,775] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,784] [Command] Playing sound select
[2023-01-10 20:11:01,802] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,811] [Command] Playing sound select
[2023-01-10 20:11:01,824] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,834] [Command] Playing sound select
[2023-01-10 20:11:01,847] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,861] [Command] Playing sound select
[2023-01-10 20:11:01,875] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,884] [Command] Playing sound select
[2023-01-10 20:11:01,898] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,908] [Command] Playing sound select
[2023-01-10 20:11:01,924] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,934] [Command] Playing sound select
[2023-01-10 20:11:01,948] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,958] [Command] Playing sound select
[2023-01-10 20:11:01,972] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:01,982] [Command] Playing sound select
[2023-01-10 20:11:01,997] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,006] [Command] Playing sound select
[2023-01-10 20:11:02,021] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,031] [Command] Playing sound select
[2023-01-10 20:11:02,045] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,055] [Command] Playing sound select
[2023-01-10 20:11:02,069] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,078] [Command] Playing sound select
[2023-01-10 20:11:02,093] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,102] [Command] Playing sound select
[2023-01-10 20:11:02,116] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,126] [Command] Playing sound select
[2023-01-10 20:11:02,139] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,149] [Command] Playing sound select
[2023-01-10 20:11:02,163] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,173] [Command] Playing sound select
[2023-01-10 20:11:02,187] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,197] [Command] Playing sound select
[2023-01-10 20:11:02,212] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,222] [Command] Playing sound select
[2023-01-10 20:11:02,235] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,246] [Command] Playing sound select
[2023-01-10 20:11:02,260] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,273] [Command] Playing sound select
[2023-01-10 20:11:02,288] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,297] [Command] Playing sound select
[2023-01-10 20:11:02,312] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,322] [Command] Playing sound select
[2023-01-10 20:11:02,338] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,347] [Command] Playing sound select
[2023-01-10 20:11:02,361] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:11:02,371] [Command] Playing sound select
[2023-01-10 20:11:02,385] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
